zcta,population,median_age,median_household_income,per_capita_income,poverty_count,unemployment_count
00601,17242.0,40.5,13092.0,6999.0,10772.0,2316.0
00602,38442.0,42.3,16358.0,9277.0,19611.0,1927.0
00603,48814.0,41.1,16603.0,11307.0,24337.0,3124.0
00606,6437.0,43.3,12832.0,5943.0,4163.0,230.0
00610,27073.0,42.1,19309.0,10220.0,11724.0,1290.0
00612,60303.0,42.4,18171.0,10549.0,28547.0,3675.0
00616,10765.0,42.1,16018.0,9102.0,5388.0,595.0
00617,23974.0,40.1,16735.0,9122.0,11879.0,1339.0
00622,6578.0,52.5,15206.0,11749.0,3309.0,255.0
00623,42427.0,41.8,16280.0,8857.0,22617.0,1736.0
00624,22707.0,37.9,17578.0,8696.0,12519.0,1661.0
00627,32222.0,40.8,16831.0,10252.0,16153.0,1628.0
00631,1568.0,47.4,9681.0,7863.0,1020.0,196.0
00637,22975.0,42.1,16887.0,9586.0,10756.0,1166.0
00638,16701.0,42.0,14916.0,8485.0,9291.0,847.0
00641,27571.0,43.1,16795.0,8739.0,14287.0,2596.0
00646,37494.0,39.9,29320.0,16462.0,12935.0,3336.0
00647,5643.0,48.0,13674.0,7556.0,3532.0,482.0
00650,14760.0,39.2,19631.0,8799.0,7718.0,788.0
00652,3697.0,39.8,21650.0,11156.0,1620.0,153.0
00653,11140.0,39.6,12915.0,7366.0,7167.0,997.0
00656,18979.0,41.0,16902.0,8701.0,10521.0,1373.0
00659,40390.0,41.5,17201.0,10659.0,18717.0,915.0
00660,16180.0,45.8,19394.0,11874.0,6592.0,1439.0
00662,40290.0,41.1,17180.0,9320.0,21809.0,2335.0
00664,14991.0,38.0,15253.0,7501.0,8935.0,946.0
00667,23590.0,44.4,13766.0,7268.0,14358.0,1241.0
00669,25653.0,42.1,14816.0,8779.0,13931.0,2409.0
00670,8498.0,41.0,13427.0,7270.0,4759.0,70.0
00674,39859.0,41.6,19211.0,10878.0,18226.0,2289.0
00676,36995.0,39.5,14146.0,8802.0,21084.0,3235.0
00677,14311.0,45.4,21673.0,11663.0,6002.0,497.0
00678,26091.0,40.4,16200.0,9654.0,13552.0,1022.0
00680,46395.0,42.9,13911.0,10404.0,23841.0,3898.0
00682,32359.0,36.9,15029.0,11102.0,17380.0,3004.0
00683,30424.0,43.7,15523.0,9829.0,15690.0,667.0
00685,38039.0,43.6,14617.0,8724.0,20863.0,3001.0
00687,31320.0,37.9,20589.0,9715.0,14209.0,2253.0
00688,12202.0,40.9,17231.0,9155.0,5880.0,487.0
00690,5352.0,46.4,17622.0,11632.0,2738.0,420.0
00692,35840.0,38.6,19094.0,11955.0,16626.0,2377.0
00693,54428.0,40.6,19119.0,10536.0,24607.0,3376.0
00694,69.0,73.6,,6880.0,24.0,0.0
00698,36312.0,42.9,15019.0,8355.0,17419.0,2222.0
00703,26320.0,41.6,17129.0,10040.0,13419.0,1701.0
00704,8274.0,32.9,14293.0,7373.0,5096.0,258.0
00705,23176.0,41.5,19516.0,10562.0,10789.0,376.0
00707,10964.0,44.4,19596.0,9398.0,5364.0,822.0
00714,17998.0,39.6,17095.0,8021.0,10390.0,510.0
00715,2972.0,43.1,13070.0,7114.0,1943.0,222.0
00716,28089.0,43.7,18818.0,14616.0,13283.0,1243.0
00717,16659.0,38.3,12251.0,9975.0,9398.0,893.0
00718,25715.0,37.5,19318.0,9329.0,12678.0,808.0
00719,29119.0,39.8,19757.0,9167.0,13155.0,2406.0
00720,21276.0,38.9,13408.0,7914.0,12143.0,2255.0
00723,17393.0,43.9,15826.0,9270.0,9234.0,955.0
00725,80555.0,41.3,20920.0,13109.0,33210.0,5189.0
00727,54823.0,39.3,31401.0,16733.0,17204.0,2424.0
00728,39698.0,38.6,19047.0,9597.0,18401.0,1661.0
00729,51593.0,39.0,20920.0,11730.0,21963.0,4867.0
00730,31634.0,41.5,15431.0,11224.0,17358.0,1594.0
00731,12722.0,40.3,17083.0,10431.0,6808.0,445.0
00735,12404.0,41.8,19184.0,12739.0,5421.0,475.0
00736,47411.0,43.0,21000.0,11996.0,20761.0,1608.0
00738,30376.0,41.5,19404.0,11926.0,13062.0,3619.0
00739,36847.0,38.9,20098.0,11112.0,15383.0,2266.0
00740,1625.0,35.6,13136.0,6748.0,1072.0,270.0
00741,4880.0,39.8,22073.0,10191.0,2205.0,497.0
00745,51429.0,40.7,22782.0,11076.0,19447.0,5071.0
00751,21009.0,42.1,17567.0,9556.0,10774.0,503.0
00754,37727.0,40.9,18895.0,10970.0,16908.0,1161.0
00757,22066.0,37.8,17640.0,10895.0,10392.0,707.0
00765,8607.0,43.7,15271.0,11174.0,3577.0,435.0
00766,23201.0,38.8,19746.0,10631.0,11151.0,1999.0
00767,34166.0,42.5,15999.0,9144.0,18224.0,2809.0
00769,39121.0,40.6,19928.0,10774.0,18303.0,923.0
00771,37165.0,39.0,21499.0,11157.0,16202.0,2347.0
00772,20055.0,38.9,15658.0,7934.0,11273.0,2219.0
00773,18547.0,41.2,20829.0,11007.0,8283.0,1901.0
