restaurant_id,street_no,street_name,zip_code
1,800,N Canal Blvd,70301
1,124,John R Rd,48083
1,909,N Wood,75644
1,97,Gateway Blvd,82901
1,6557,S Staples St,78413
1,3208,Seymour Hwy,76309
1,18535,US Highway 281 N,78258
1,103,W Central St,71671
1,7210,Burden Boulevard,99301
1,340,Robert Smalls Pkwy,29906
1,1055,Broadway Street,32765
1,1317,Piedmont Rd N,73078
1,8425,Davis Blvd,76182
1,4042,Cerrillos Rd,87507
1,2080,Miller Park Way,53219
1,3824,Fredericksburg Rd,78201
1,4319,S New Braunfels Ave,78223
1,2939,E 21st St N,67214
1,4534,Brandt Pike,45424
1,3302,S Eastman Rd,75602
1,1735,N State Highway 121,75418
1,1650,S Yellowstone Hwy,83402
1,974,Early Blvd,76802
1,8777,W Overland Rd,83709
1,1401,N Pocola Blvd,74902
1,6625,Line Ave,71106
1,3330,E Thomas Rd,85018
1,2160,E Fairview Ave,83642
1,2299,Dick Pond Rd,29575
1,7630,Preston Rd,75034
1,2440,W 128th Ave,80234
1,8311,Hedge Lane Ter,66227
1,106,Luyben Hills Rd,37082
1,1592,N Parkway,38301
1,3270,N Pontiac Trl,48390
1,113,Highland Xing,30540
1,4451,Eastgate Blvd,45245
1,6031,State Route 30,15601
1,40124,10th St W,93551
1,1704,Avenue H,77471
1,290,Wilson Avenue,17331
1,1560,E Alexander Love Hwy,29745
1,11320,E 23rd St S,64052
1,5901,W Reno Ave,73127
1,2850,Chautauqua Ave,73072
1,1210,N Solano Dr,88001
1,8405,N Houston Rosslyn Rd,77088
1,3121,Boiling Springs Rd,29316
1,2935,E Sunshine St,65804
1,1435,Austin Hwy,78209
1,8738,Potranco Rd,78251
1,5601,S 48th St,68516
1,809,S Highway 183,78641
1,1026,S Broadway,40504
1,305,W 11 Mile Rd,48067
1,4111,S Bowen Rd,76016
1,9500,Federal Blvd,80260
1,11010,Highway 105 E,77301
1,17518,State Highway 6,77578
1,1375,Highway 138,30013
1,3331,Route 27,08823
1,1921,Emmorton Rd,21015
1,4233,Egan Dr,55378
1,559,E Main St,37075
1,6206,E Broad St,43213
1,3036,Broad River Rd,29210
1,1313,N Ruby St,99202
1,1907,Richardson Rd,63010
1,1103,Upper Front St,13905
1,224,W 23rd St,32405
1,1301,Winston Rd,27295
1,1602,East Riverside Boulevard,61111
1,2502,SE 14th St,72712
1,2137,South Perryville Road,61112
1,4414,W Walnut,72756
1,7315,Hacks Cross Rd,38654
1,1402,Vandalia St,62234
1,11211,SE 178th Pl,34491
1,200,E New Hope Rd,72758
1,16031,S Farrell Rd,60441
1,13887,US Highway 87 W,78121
1,5817,Plank Rd,22407
1,2246,Parkway,37863
1,4610,Highway 22,70471
1,2339,Main St,80501
1,2707,SW 59th St,73119
1,1300,E Lindsey St,73071
1,1600,Cedar Rd,23322
1,3255,W Orange Grove Rd,85741
1,3701,N Aspen Ave,74012
1,3820,S Peoria Ave,74105
1,27171,Main St,80433
1,584,S Columbia Ave,31326
1,6101,Airline Rd,38002
1,17750,Blanco Rd,78232
1,6701,White Ln,93309
1,3220,Taft Highway,93313
1,1701,Murfreesboro Pike,37217
1,7888,Brandt Pike,45424
1,2890,Wilmington Pike,45419
1,1230,E Brandon Blvd,33511
1,4302,E Chandler Blvd,85048
1,11658,E Colfax Ave,80010
1,820,Oak Rd,30044
1,6481,Eldorado Pkwy,75070
1,2219,Colorado Blvd,76205
1,3581,Holland Rd,23452
1,101,Main St,92084
1,5392,Wales Ave NW,44646
1,9900,Montgomery Blvd NE,87111
1,2130,N Josey Ln,75006
1,8040,Niles St,93306
2,206,Wears Valley Rd,37863
2,1601,W Kirby St,75098
