restaurant_name,address,zip_code
SONIC Drive In,800 N Canal Blvd,70301
Taco Bell,206 Wears Valley Rd,37863
Arby's,3652 Parkway,37863
Steak 'n Shake,2118 Mt Zion Parkway,30260
Wendy's,9768 Grand River Ave,48204
Burger King,13600 W McNichols Rd,48235
Chipotle Mexican Grill,4111 Oceanside Blvd,92056
7-Eleven,162 Old Country Rd,11901
Dairy Queen,1407 S Stockton Ave,79756
Dairy Queen,208 W Mason St,75147
Dairy Queen,5801 Highway 6,77459
Mr. Hero,3454 Manchester Rd,44319
Golden Chick,1500 E Main St,76448
Carl's Jr,1190 W Foothill Blvd,91702
Checkers,601 N Main St,29483
Rally's,1927 Woodville Road,43616
Togo's,6316 W 89th St,90045
Rally's,3105 Highway 80 E,39208
Checkers,2860 E Paris Ave SE,49512
Rally's,2424 E State Road 44,46176
Checkers,1611 Broadway,11207
Checkers,1720 Walton Way,30904
Checkers,17620 Grand River Ave,48227
Little Q Hot Pot,196 Massachusetts Ave,02474
McDonald's,1224 State St,12304
McDonald's,1232 Ulster Ave,12401
McDonald's,1188 Avenue of The Americas,10036
McDonald's,114 Delancey St,10002
McDonald's,1050 Front St,11553
McDonald's,105 Jericho Tpke,11753
McDonald's,106 Wolf Rd,12205
McDonald's,101 E 170th St,10452
McDonald's,103 Brookview Dr,12303
McDonald's,1028 Mckinley Pkwy,14220
McDonald's,10 Main St,14150
McDonald's,300 Mishawum Rd,01801
McDonald's,1190 Providence Rd,01588
McDonald's,212 Main St,01887
McDonald's,44 E Main St,01570
McDonald's,789 Main St,02451
McDonald's,20 Main St,01469
McDonald's,595 Main St,02081
McDonald's,282 Winthrop St,02780
McDonald's,660 Liberty St,01104
McDonald's,360 Main St,01105
McDonald's,2392 Main St,01107
McDonald's,1402 Allen St,01118
McDonald's,1610 Boston Rd,01129
McDonald's,59 W Main St,01562
Five Guys,1433 SW 107th Ave,33174
Taco Bell,1601 W Kirby St,75098
Taco Bell,7425 S Broadway Ave,75703
Burger King,100 Business Loop 70 E,65203
Wendy's,615 Martin Luther King Jr Blvd,31401
Wendy's,1123 Roswell Rd,30062
Wendy's,273 Keys Ferry St,30253
Wendy's,1117 W Spring St,30655
Wendy's,430 S Belair Rd,30907
Wendy's,2341 N Columbia St,31061
Wendy's,260 Cooper Rd,30052
Wendy's,4331 Atlanta Hwy,30052
Wendy's,3015 Panola Rd,30038
Burger King,184 Endicott St,01923
Boston Road Pizza,1291 Boston Rd,01119
McDonald's,6134 State Route 14,44266
Boston Market,4402 Little Rd,76016
D'Angelo Grilled Sandwiches,15 Highland Ave,02703
Burger King,2992 Jamacha Rd,92019
Boston Market,706 Fletcher Pkwy,92020
Burger King,822 N Johnson Ave,92020
Nino's Pizzarama,2819 Easton Rd,19090
Carl's Jr,8924 Sierra Ave,92335
Carl's Jr,18025 Ventura Blvd,91316
Burger King,242 N El Camino Real,92024
Carl's Jr,9002 Firestone Blvd,90241
Carl's Jr,9110 Imperial Hwy,90242
Filippi's Pizza Grotto,962 Garnet Ave,92109
Burger King,7011 Barker Cypress Rd,77433
Boston Market,2180 Contra Costa Blvd,94523
Jack in the Box,3035 Castro Valley Blvd,94546
Round Table Pizza,4302 Moorpark Ave,95129
El Pollo Loco,1751 S Alameda St,90220
Arby's,2244 Otay Lakes Rd,91915
Burger King,962 East Ave,95926
In-N-Out Burger,1170 W Branch St,93420
