zip_code,zcta
00501,11742
00544,11742
00601,00601
00602,00602
00603,00603
00604,00603
00605,00603
00606,00606
00610,00610
00611,00641
00612,00612
00613,00612
00614,00612
00616,00616
00617,00617
00622,00622
00623,00623
00624,00624
00627,00627
00631,00631
00636,00680
00637,00637
00638,00638
00641,00641
00646,00646
00647,00647
00650,00650
00652,00652
00653,00653
00656,00656
00659,00659
00660,00660
00662,00662
00664,00664
00667,00667
00669,00669
00670,00670
00674,00674
00676,00676
00677,00677
00678,00678
00680,00680
00681,00680
00682,00682
00683,00683
00685,00685
00687,00687
00688,00688
00690,00690
00692,00692
00693,00693
00694,00694
00698,00698
00703,00703
00704,00704
00705,00705
00707,00707
00714,00714
00715,00715
00716,00716
00717,00717
00718,00718
00719,00719
00720,00720
00721,00745
00723,00723
00725,00725
00726,00725
00727,00727
00728,00728
00729,00729
00730,00730
00731,00731
00732,00730
00733,00730
00734,00730
00735,00735
00736,00736
00737,00736
00738,00738
00739,00739
00740,00740
00741,00741
00742,00742
00744,00718
00745,00745
00751,00751
00754,00754
00757,00757
00765,00765
00766,00766
00767,00767
00769,00769
00771,00771
00772,00772
00773,00773
00775,00775
00777,00777
00778,00778
00780,00780
00782,00782
00783,00783
00784,00784
00785,00784
00786,00786
00791,00791
00792,00791
00794,00794
00795,00795
00801,00801
00802,00802
00803,00802
00804,00802
00805,00802
00820,00820
00821,00820
00822,00820
00823,00823
00824,00824
00830,00830
00831,00831
00840,00840
00841,00841
00850,00850
00851,00851
00901,00901
00902,00901
00906,00906
00907,00907
00908,00907
00909,00909
00910,00909
00911,00911
00912,00912
00913,00913
00914,00911
00915,00915
00916,00915
00917,00917
00918,00918
00919,00918
00920,00920
00921,00921
00922,00922
00923,00923
00924,00924
00925,00925
00926,00926
00927,00927
00928,00925
00929,00924
00930,00923
00931,00925
00933,00918
00934,00934
00935,00936
00936,00936
00937,00937
00939,00918
00940,00909
00949,00949
00950,00950
00951,00951
00952,00952
00953,00953
00954,00953
00955,00921
00956,00956
00957,00957
00958,00957
00959,00959
00960,00960
00961,00961
00962,00962
00963,00962
00965,00965
00966,00966
00968,00968
00969,00969
00970,00969
00971,00971
00975,00917
00976,00976
00977,00965
00978,00976
00979,00979
00981,00981
00982,00982
00983,00983
00984,00983
00985,00985
00986,00985
00987,00987
00988,00988
01001,01001
01002,01002
01003,01003
01004,01002
01005,01005
01007,01007
01008,01008
01009,01009
01010,01010
01011,01011
01012,01012
01013,01013
01014,01013
01020,01020
01021,01020
01022,01022
01026,01026
01027,01027
01028,01028
01029,01029
01030,01030
01031,01031
01032,01032
01033,01033
01034,01034
01035,01035
01036,01036
01037,01037
01038,01038
01039,01039
01040,01040
01041,01040
01050,01050
01053,01053
01054,01054
01056,01056
01057,01057
01059,01002
01060,01060
01061,01060
01062,01062
01063,01063
01066,01066
01068,01068
01069,01069
01070,01070
01071,01071
01072,01072
01073,01073
01074,01074
01075,01075
01077,01077
01079,01079
01080,01080
01081,01081
01082,01082
01083,01083
01084,01084
01085,01085
01086,01086
01088,01088
01089,01089
01090,01089
01092,01092
01093,01093
01094,01094
01095,01095
01096,01096
01097,01097
01098,01098
01101,01104
01102,01104
01103,01103
01104,01104
01105,01105
01106,01106
01107,01107
01108,01108
01109,01109
01111,01109
01115,01103
01116,01106
01118,01118
01119,01119
01128,01128
01129,01129
01138,01108
01139,01109
01144,01103
01151,01151
01152,01151
01199,01199
01201,01201
01202,01201
01203,01201
01220,01220
01222,01222
01223,01223
01224,01224
01225,01225
01226,01226
01227,01226
01229,01229
01230,01230
01235,01235
01236,01236
01237,01237
01238,01238
01240,01240
01242,01242
01243,01243
01244,01244
01245,01245
01247,01247
01252,01230
01253,01253
01254,01254
01255,01255
01256,01256
01257,01257
01258,01258
01259,01259
01260,01260
01262,01262
01263,01262
01264,01264
01266,01266
01267,01267
01270,01270
01301,01301
01302,01301
01330,01330
01331,01331
01337,01337
01338,01338
01339,01339
01340,01340
01341,01341
01342,01342
01343,01343
01344,01344
01346,01346
01347,01347
01349,01349
01350,01350
01351,01351
01354,01354
01355,01355
01360,01360
01364,01364
01366,01366
01367,01367
01368,01368
01370,01370
01373,01373
01375,01375
01376,01376
01378,01378
01379,01379
01380,01379
01420,01420
01430,01430
01431,01431
01432,01432
01434,01434
01436,01436
01438,01438
01440,01440
01441,01473
01450,01450
01451,01451
01452,01452
01453,01453
01460,01460
01462,01462
01463,01463
01464,01464
01467,01467
01468,01468
01469,01469
01470,01450
01471,01450
01472,01450
01473,01473
01474,01474
01475,01475
01501,01501
01503,01503
01504,01504
01505,01505
01506,01506
01507,01507
01508,01507
01509,01507
01510,01510
01515,01515
01516,01516
01518,01518
01519,01519
01520,01520
01521,01521
01522,01522
01523,01523
01524,01524
01525,01525
01526,01590
01527,01527
01529,01529
01531,01531
01532,01532
01534,01534
01535,01535
01536,01536
01537,01537
01538,01569
01540,01540
01541,01541
01542,01542
01543,01543
01545,01545
01546,01545
01550,01550
01560,01560
01561,01561
01562,01562
01564,01564
01566,01566
01568,01568
01569,01569
01570,01570
