GEOID,INTPTLAT,INTPTLONG,POP10,location,TotalArea_SqKM,PopDensity_SqKM
00602,18.361945000000002,-67.175597,41520,"{'type': 'Point', 'coordinates': [-67.175597, 18.361945000000002]}",83.735963,495.84430049487815
00603,18.455182999999998,-67.119887,54689,"{'type': 'Point', 'coordinates': [-67.119887, 18.455182999999998]}",82.068602,666.3815231067297
00606,18.158345,-66.932911,6615,"{'type': 'Point', 'coordinates': [-66.932911, 18.158345]}",109.592485,60.359978149961655
00610,18.295366,-67.125135,29016,"{'type': 'Point', 'coordinates': [-67.125135, 18.295366]}",97.185487,298.5630971834303
00612,18.402252999999998,-66.71139699999999,67010,"{'type': 'Point', 'coordinates': [-66.71139699999999, 18.402252999999998]}",184.855191,362.49996355255183
00616,18.420412,-66.67197900000001,11017,"{'type': 'Point', 'coordinates': [-66.67197900000001, 18.420412]}",30.011866,367.08813773858645
00617,18.445147,-66.559696,24597,"{'type': 'Point', 'coordinates': [-66.559696, 18.445147]}",43.335804,567.5907155201273
00622,17.991245000000003,-67.153993,7853,"{'type': 'Point', 'coordinates': [-67.153993, 17.991245000000003]}",76.785627,102.27174416378732
00623,18.083361,-67.153897,43061,"{'type': 'Point', 'coordinates': [-67.153897, 18.083361]}",99.985226,430.6736277217596
00624,18.064919,-66.71668299999999,26241,"{'type': 'Point', 'coordinates': [-66.71668299999999, 18.064919]}",114.319971,229.53994626188282
00627,18.4126,-66.863926,35159,"{'type': 'Point', 'coordinates': [-66.863926, 18.4126]}",123.565306,284.53779736522483
00631,18.190607,-66.832041,1852,"{'type': 'Point', 'coordinates': [-66.832041, 18.190607]}",11.084643,167.07800151976028
00637,18.076713,-66.947389,25287,"{'type': 'Point', 'coordinates': [-66.947389, 18.076713]}",89.247955,283.3342231763181
00638,18.295913,-66.515588,18941,"{'type': 'Point', 'coordinates': [-66.515588, 18.295913]}",171.548758,110.41175827108
00641,18.263085,-66.712985,31191,"{'type': 'Point', 'coordinates': [-66.712985, 18.263085]}",245.703697,126.94558682200048
00646,18.43315,-66.285875,38199,"{'type': 'Point', 'coordinates': [-66.285875, 18.43315]}",56.933159,670.9446774242757
00647,17.963613,-66.94712700000001,6172,"{'type': 'Point', 'coordinates': [-66.94712700000001, 17.963613]}",47.39316,130.2297631134957
00650,18.349417000000003,-66.578078,14998,"{'type': 'Point', 'coordinates': [-66.578078, 18.349417000000003]}",79.60995,188.3935362351063
00652,18.448452,-66.594127,4715,"{'type': 'Point', 'coordinates': [-66.594127, 18.448452]}",17.930882,262.9541591986384
00653,17.985032999999998,-66.88653599999999,13307,"{'type': 'Point', 'coordinates': [-66.88653599999999, 17.985032999999998]}",44.681208,297.82095416936806
00656,18.053539,-66.79293100000001,21481,"{'type': 'Point', 'coordinates': [-66.79293100000001, 18.053539]}",88.309704,243.24620089316574
00659,18.407226,-66.808999,41953,"{'type': 'Point', 'coordinates': [-66.808999, 18.407226]}",111.250555,377.1037366959652
00660,18.134695,-67.116199,17250,"{'type': 'Point', 'coordinates': [-67.116199, 18.134695]}",29.385374,587.0267296921251
00662,18.468320000000002,-67.015781,43282,"{'type': 'Point', 'coordinates': [-67.015781, 18.468320000000002]}",120.249047,359.9363244849666
00664,18.21033,-66.591616,16784,"{'type': 'Point', 'coordinates': [-66.591616, 18.21033]}",117.900773,142.35699709958644
00667,18.003422,-67.03581,25968,"{'type': 'Point', 'coordinates': [-67.03581, 18.003422]}",184.462636,140.7764768145241
00669,18.277102,-66.86964499999999,29744,"{'type': 'Point', 'coordinates': [-66.86964499999999, 18.277102]}",159.587531,186.38047605360845
00670,18.240187,-66.988776,9807,"{'type': 'Point', 'coordinates': [-66.988776, 18.240187]}",118.383164,82.84117157064665
00674,18.422908,-66.489337,44457,"{'type': 'Point', 'coordinates': [-66.489337, 18.422908]}",123.305621,360.54317426453736
00676,18.377637,-67.079574,40316,"{'type': 'Point', 'coordinates': [-67.079574, 18.377637]}",130.686817,308.4932430483788
00677,18.332568,-67.22702199999999,15272,"{'type': 'Point', 'coordinates': [-67.22702199999999, 18.332568]}",40.732066,374.93801566559375
00678,18.434099,-66.927384,27819,"{'type': 'Point', 'coordinates': [-66.927384, 18.434099]}",72.070774,385.9955770698397
00680,18.178225,-67.151514,58140,"{'type': 'Point', 'coordinates': [-67.151514, 18.178225]}",186.128203,312.3653431500652
00682,18.221464,-67.156039,32615,"{'type': 'Point', 'coordinates': [-67.156039, 18.221464]}",43.625902,747.6063188332472
00683,18.1078,-67.037263,33772,"{'type': 'Point', 'coordinates': [-67.037263, 18.1078]}",135.194404,249.80323889737332
00685,18.332929,-66.959689,42831,"{'type': 'Point', 'coordinates': [-66.959689, 18.332929]}",202.86649,211.12900410511367
